0,238811,"
"
100,249581,"
"
200,260032,"
"
300,270714,"
"
400,281576,"
"
500,292719,"
"
1000,345531,"
"
2000,450668,"
"
3000,555963,"
"
4000,661139,"
"
5000,766796,"
"
6000,871937,"
"
7000,977163,"
"
8000,1082316,"
"
9000,1188875,"
"
10000,1294368,"
"
15000,1886292,"
"
20000,2349601,"
"
30000,3403348,"
"
34000,3824238,"
"
38000,4245444,"
"
34000,3814043,"
"
30000,3391081,"
"
20000,2348231,"
"
15000,1821061,"
"
10000,1286018,"
"
9000,1180813,"
"
8000,1081164,"
"
7000,976176,"
"
6000,871200,"
"
5000,728000,"
"
4000,526708,"
"
3000,554253,"
"
2000,458417,"
"
1000,344004,"
"
500,291067,"
"
400,280661,"
"
300,269637,"
"
200,259097,"
"
100,248495,"
"
0,238169,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
,,"
"
